0,0
4802.95,14269,
4804.96,14269,
4807.01,14269,
4808.89,14269,
4810.90,14269,
4812.76,14269,
4814.78,14269,
4816.77,14269,
4818.62,14269,
4822.27,14269,
4827.75,14269,
4829.78,14269,
4831.59,14269,
4833.44,14269,
4835.30,14269,
4837.12,14269,
4838.97,14269,
4840.80,14269,
4842.65,14269,
4844.50,14269,
4846.36,14269,
4848.19,14269,
4850.21,14269,
4852.05,14269,
4853.88,14269,
4855.73,14269,
4857.59,14269,
4859.40,14269,
4861.25,14269,
4863.24,14269,
4865.08,14269,
4870.56,14269,
4872.45,14269,
4874.33,14269,
4876.15,14269,
4877.97,14269,
4880.00,14269,
4881.85,14269,
4883.69,14269,
4885.54,14269,
4887.39,14269,
4891.22,14269,
4893.07,14269,
4894.91,14269,
4896.77,14269,
4898.68,14269,
4900.53,14269,
4902.57,14269,
4904.41,14269,
4906.41,14269,
4908.23,14269,
4910.05,14269,
4911.89,14269,
4913.92,14269,
4916.01,14269,
4917.89,14269,
4919.72,14269,
4921.55,14269,
4923.65,14269,
4927.60,14269,
4931.53,14269,
4933.59,14269,
4935.43,14269,
4937.25,14269,
4939.09,14269,
4941.19,14269,
4943.03,14269,
4945.03,14269,
4947.05,14269,
4948.91,14269,
4950.75,14269,
4952.57,14269,
4954.42,14269,
4956.25,14269,
4958.06,14269,
4959.91,14269,
4961.73,14269,
4963.59,14269,
4967.29,14269,
4969.10,14269,
4970.94,14269,
4972.77,14269,
4974.60,14269,
4976.42,14269,
4978.27,14269,
4980.30,14269,
4982.32,14269,
4984.44,14269,
4986.28,14269,
4989.88,14269,
4991.68,14269,
4993.66,14269,
4995.52,14269,
4997.33,14269,
4999.32,14269,
5001.18,14269,
5003.03,14269,
5005.08,14269,
5007.27,14269,
5009.13,14269,
5010.97,14269,
5012.78,14269,
5014.62,14269,
5016.42,14269,
5018.46,14269,
5020.29,14269,
5022.10,14269,
5024.20,14269,
5026.04,14269,
5028.03,14269,
5032.05,14269,
5033.89,14269,
5035.91,14269,
5037.79,14269,
5039.81,14269,
5041.86,14269,
5043.76,14269,
5045.64,14269,
5047.66,14269,
5049.65,14269,
5051.66,14269,
5053.52,14269,
5055.34,14269,
5057.37,14269,
5059.37,14269,
5061.40,14269,
5063.27,14269,
5065.07,14269,
5066.88,14269,
5068.69,14269,
5070.50,14269,
5072.34,14269,
5074.17,14269,
5076.20,14269,
5079.85,14269,
5081.72,14269,
5083.54,14269,
5085.38,14269,
5087.24,14269,
5089.32,14269,
5091.32,14269,
5093.12,14269,
5094.97,14269,
5096.80,14269,
5098.79,14269,
5100.67,14269,
5102.50,14269,
5104.55,14269,
5106.39,14269,
5108.22,14269,
5110.33,14269,
5112.14,14269,
5114.17,14269,
5116.20,14269,
5118.22,14269,
5120.07,14269,
5122.05,14269,
5123.89,14269,
5125.69,14269,
5127.53,14269,
5129.37,14269,
5131.21,14269,
5133.01,14269,
5134.85,14269,
5136.83,14269,
5138.68,14269,
5140.50,14269,
5142.39,14269,
5144.47,14269,
5146.32,14269,
5148.13,14269,
5149.97,14269,
5151.79,14269,
5153.65,14269,
5155.49,14269,
5159.35,14269,
5161.41,14269,
5163.26,14269,
5167.17,14269,
5169.22,14269,
5171.06,14269,
5172.89,14269,
5174.70,14269,
5176.72,14269,
5178.57,14269,
5180.40,14269,
5182.26,14269,
5186.13,14269,
5188.02,14269,
5189.82,14269,
5191.81,14269,
5193.65,14269,
5195.69,14269,
5197.73,14269,
5199.57,14269,
5201.39,14269,
5203.22,14269,
5205.21,14269,
5208.86,14269,
5210.97,14269,
5213.09,14269,
5214.91,14269,
5216.75,14269,
5218.58,14269,
5220.46,14269,
5222.29,14269,
5224.25,14269,
5226.14,14269,
5227.97,14269,
5229.81,14269,
5231.66,14269,
5233.49,14269,
5235.50,14269,
5237.65,14269,
5239.73,14269,
5241.78,14269,
5243.62,14269,
5245.47,14269,
5247.28,14269,
5249.12,14269,
5250.94,14269,
5253.08,14269,
5254.94,14269,
5258.60,14269,
5260.42,14269,
5262.44,14269,
5264.49,14269,
5266.63,14269,
5268.67,14269,
5270.55,14269,
5272.39,14269,
5274.26,14269,
5276.33,14269,
5278.18,14269,
5280.06,14269,
5282.09,14269,
5283.93,14269,
5285.80,14269,
5287.63,14269,
5289.66,14269,
5291.78,14269,
5293.62,14269,
5295.62,14269,
5297.64,14269,
5299.47,14269,
5303.09,14269,
5305.24,14269,
5307.36,14269,
5309.22,14269,
5311.32,14269,
5313.19,14269,
5315.08,14269,
5316.90,14269,
5318.75,14269,
5320.58,14269,
5322.63,14269,
5326.24,14269,
5328.08,14269,
5329.89,14269,
5331.74,14269,
5333.62,14269,
5335.47,14269,
5337.36,14269,
5339.19,14269,
5341.03,14269,
